segment_id,segment_description,road_name,lga,region,district,start_lat,start_lon,gda_x,gda_y
1765,URALLA GOLF COURSE SOUTH,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.656720366666665,151.48903253333333,4778142.323766666,9730148.726033334
1770,BIG CUT,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,South,HMO South M3Ed3,-34.6718753375,148.779613640625,4340150.519003125,9464546.986765625
1774,BRIDGE OVER WILSON RIVER  BN1838,PORT MACQUARIE - KUNDABUNG,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-31.3245007,152.7977702,4698058.4504,9851334.1388
1780,360M STH OF CANDELO - CATHCART RD (MR275),PRINCES HIGHWAY,BEGA VALLEY,South,Bega M3Ed3,-35.82399950606061,149.40607905151515,4211510.172657575,9517538.940287879
1790,HILLAS CREEK,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,South,HMO South M3Ed3,-35.04724434473684,148.08482025,4299921.091886842,9399477.323702632
1795,WOOD STREET  URALLA,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.63507516666667,151.5073213,4780464.481186667,9732003.624393335
1800,PARKLEA,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,South,HMO South M3Ed3,-32.427648135135136,150.38791923513514,4584559.1919486495,9621763.020470269
1805,BARLEY FIELDS ROAD,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.621559575,151.52603169374999,4781884.0528,9733860.707825
1810,PARKLEA TO DELTROIT ROAD,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,South,HMO South M3Ed3,-33.951369024242425,150.24361773333334,4416839.012945455,9601635.305545455
1815,LAMBING GULLY,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.604873175,151.542644625,4783663.2829625,9735532.6258125
1820,DELTROIT ROAD SOUTH,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,South,HMO South M3Ed3,-33.5427446275,149.5805896725,4462920.720475,9543359.7081875
1825,AMBERLEY,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.66176798,151.68487475,4776701.49716,9748782.48232
1827,ARDING FIELD STATION CSIRO,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.5763909,151.56738748749999,4786714.8325875,9738041.39935
1830,970M STH OF WANATTA LANE (R),PRINCES HIGHWAY,BEGA VALLEY,South,Bega M3Ed3,-34.83686578125,149.7546904,4319815.574899999,9553952.1500625
1835,ARDING ROAD,NEW ENGLAND HIGHWAY,URALLA,North,New England M3Ed3,-30.56089665,151.5810988875,4788373.5660125,9739430.88295
1840,TARCUTTA RANGE,HUME HIGHWAY,COOTAMUNDRA-GUNDAGAI REGIONAL,South,HMO South M3Ed3,-33.475101040909095,149.9708665590909,4469594.750522727,9579356.659613637
